helper,sepal_length,sepal_width,petal_length,petal_width,species
0.62062224,4.9,3.1,1.5,0.1,Iris-setosa
0.409707827,6.9,3.1,5.4,2.1,Iris-virginica
0.901746317,5.7,4.4,1.5,0.4,Iris-setosa
0.057171007,5.6,2.9,3.6,1.3,Iris-versicolor
0.628083389,5.8,4,1.2,0.2,Iris-setosa
0.053369335,7.9,3.8,6.4,2,Iris-virginica
0.595082801,6.4,2.9,4.3,1.3,Iris-versicolor
0.31187868,5.6,3,4.5,1.5,Iris-versicolor
0.433552473,5.2,4.1,1.5,0.1,Iris-setosa
0.644676214,5,3.3,1.4,0.2,Iris-setosa
0.903493763,6,3,4.8,1.8,Iris-virginica
0.320839786,5.8,2.8,5.1,2.4,Iris-virginica
0.308196685,7.1,3,5.9,2.1,Iris-virginica
0.082178038,6.2,3.4,5.4,2.3,Iris-virginica
0.305722882,6.9,3.2,5.7,2.3,Iris-virginica
0.48339254,5.1,3.5,1.4,0.2,Iris-setosa
0.419398601,5,2,3.5,1,Iris-versicolor
0.014365472,6.7,3.1,5.6,2.4,Iris-virginica
0.928185832,6.3,3.3,4.7,1.6,Iris-versicolor
0.428016216,4.8,3.4,1.6,0.2,Iris-setosa
0.33744969,5,3,1.6,0.2,Iris-setosa
0.024438589,4.9,2.5,4.5,1.7,Iris-virginica
0.110784907,6.8,3.2,5.9,2.3,Iris-virginica
0.010942177,6.3,2.7,4.9,1.8,Iris-virginica
0.979558971,5.8,2.7,4.1,1,Iris-versicolor
0.931648439,6.4,3.2,4.5,1.5,Iris-versicolor
0.029437708,4.8,3,1.4,0.3,Iris-setosa
0.535707141,4.7,3.2,1.6,0.2,Iris-setosa
0.054199553,6.5,2.8,4.6,1.5,Iris-versicolor
0.594259683,4.7,3.2,1.3,0.2,Iris-setosa
0.835871896,6,3.4,4.5,1.6,Iris-versicolor
0.883908752,5.3,3.7,1.5,0.2,Iris-setosa
0.413422045,4.8,3,1.4,0.1,Iris-setosa
0.334739874,4.3,3,1.1,0.1,Iris-setosa
0.888824305,5.9,3.2,4.8,1.8,Iris-versicolor
0.004221208,6.1,2.8,4.7,1.2,Iris-versicolor
0.889968976,6.2,2.8,4.8,1.8,Iris-virginica
0.020497131,5.5,3.5,1.3,0.2,Iris-setosa
0.471343056,4.9,3.1,1.5,0.1,Iris-setosa
0.665362404,6.7,3,5,1.7,Iris-versicolor
0.793689588,5.1,2.5,3,1.1,Iris-versicolor
0.482487484,5.8,2.7,5.1,1.9,Iris-virginica
0.204149039,5.4,3.7,1.5,0.2,Iris-setosa
0.058991796,5.8,2.6,4,1.2,Iris-versicolor
0.25321532,5.4,3.4,1.7,0.2,Iris-setosa
0.566605497,6.6,3,4.4,1.4,Iris-versicolor
0.684435436,7.6,3,6.6,2.1,Iris-virginica
0.478712142,5,3.6,1.4,0.2,Iris-setosa
0.358976309,6.4,3.1,5.5,1.8,Iris-virginica
0.469463473,5.5,2.6,4.4,1.2,Iris-versicolor
0.003136098,5,3.2,1.2,0.2,Iris-setosa
0.863048911,5.9,3,4.2,1.5,Iris-versicolor
0.208502541,5.1,3.8,1.6,0.2,Iris-setosa
0.072874298,7.2,3,5.8,1.6,Iris-virginica
0.589077756,5,3.5,1.3,0.3,Iris-setosa
0.030569827,7.3,2.9,6.3,1.8,Iris-virginica
0.708383038,6.1,2.8,4,1.3,Iris-versicolor
0.80970822,5.7,2.9,4.2,1.3,Iris-versicolor
0.05129102,6.3,2.8,5.1,1.5,Iris-virginica
0.202798005,5.9,3,5.1,1.8,Iris-virginica
0.432456962,4.5,2.3,1.3,0.3,Iris-setosa
0.214015656,6.3,2.5,5,1.9,Iris-virginica
0.147057238,4.8,3.1,1.6,0.2,Iris-setosa
0.742418952,5.4,3.9,1.7,0.4,Iris-setosa
0.926670217,5,2.3,3.3,1,Iris-versicolor
0.253629759,6.3,3.3,6,2.5,Iris-virginica
0.593607033,6.7,3.1,4.4,1.4,Iris-versicolor
0.954976901,5.1,3.4,1.5,0.2,Iris-setosa
0.713755697,5.6,2.5,3.9,1.1,Iris-versicolor
0.184968547,5.1,3.8,1.9,0.4,Iris-setosa
0.604633281,6.2,2.9,4.3,1.3,Iris-versicolor
0.985375023,4.9,3.1,1.5,0.1,Iris-setosa
0.629310442,6,2.9,4.5,1.5,Iris-versicolor
0.020830359,5.7,2.8,4.5,1.3,Iris-versicolor
0.997883343,5.2,2.7,3.9,1.4,Iris-versicolor
0.037584832,4.8,3.4,1.9,0.2,Iris-setosa
0.013438586,6.1,3,4.9,1.8,Iris-virginica
0.095103447,6.1,2.9,4.7,1.4,Iris-versicolor
0.259744889,6.2,2.2,4.5,1.5,Iris-versicolor
0.830036042,6.3,3.4,5.6,2.4,Iris-virginica
0.802858257,5.4,3.9,1.3,0.4,Iris-setosa
0.589406114,6,2.7,5.1,1.6,Iris-versicolor
0.541891017,5.2,3.4,1.4,0.2,Iris-setosa
0.40952477,4.4,3,1.3,0.2,Iris-setosa
0.055502998,7.7,2.6,6.9,2.3,Iris-virginica
0.900788665,5.4,3.4,1.5,0.4,Iris-setosa
0.196618092,5.2,3.5,1.5,0.2,Iris-setosa
0.465015481,5.5,4.2,1.4,0.2,Iris-setosa
0.657327752,4.4,3.2,1.3,0.2,Iris-setosa
0.04083875,5.6,2.7,4.2,1.3,Iris-versicolor
0.149817629,7,3.2,4.7,1.4,Iris-versicolor
0.883926744,5.8,2.7,5.1,1.9,Iris-virginica
0.939652068,6.4,2.8,5.6,2.1,Iris-virginica
0.20976061,4.6,3.1,1.5,0.2,Iris-setosa
0.786051185,6.4,2.8,5.6,2.2,Iris-virginica
0.611114839,6.8,3,5.5,2.1,Iris-virginica
0.467714222,6.9,3.1,4.9,1.5,Iris-versicolor
0.608523329,5.7,3,4.2,1.2,Iris-versicolor
0.720547001,5.1,3.3,1.7,0.5,Iris-setosa
0.916455619,6.5,3,5.5,1.8,Iris-virginica
0.583954066,5,3.4,1.6,0.4,Iris-setosa
0.770075623,4.4,2.9,1.4,0.2,Iris-setosa
0.984737376,5.1,3.8,1.5,0.3,Iris-setosa
0.343062451,6.9,3.1,5.1,2.3,Iris-virginica
0.849051245,5.7,2.6,3.5,1,Iris-versicolor
0.1678951,6.7,3.3,5.7,2.1,Iris-virginica
0.603627622,7.7,3.8,6.7,2.2,Iris-virginica
0.717906381,6,2.2,5,1.5,Iris-virginica
0.914904853,5.5,2.4,3.7,1,Iris-versicolor
0.35740884,6.4,3.2,5.3,2.3,Iris-virginica
0.247028759,5.7,2.8,4.1,1.3,Iris-versicolor
0.419876727,6.3,2.9,5.6,1.8,Iris-virginica
0.95095337,5.5,2.5,4,1.3,Iris-versicolor
0.696132502,5.6,3,4.1,1.3,Iris-versicolor
0.6092029,5.1,3.7,1.5,0.4,Iris-setosa
0.469181323,6.6,2.9,4.6,1.3,Iris-versicolor
0.576958729,6.1,2.6,5.6,1.4,Iris-virginica
0.480754121,5.5,2.4,3.8,1.1,Iris-versicolor
0.453745741,5,3.5,1.6,0.6,Iris-setosa
0.754245902,6.3,2.3,4.4,1.3,Iris-versicolor
0.504743067,6.7,3,5.2,2.3,Iris-virginica
0.899164313,7.2,3.2,6,1.8,Iris-virginica
0.268216557,4.9,2.4,3.3,1,Iris-versicolor
0.866859191,7.4,2.8,6.1,1.9,Iris-virginica
0.042278907,6.7,3.3,5.7,2.5,Iris-virginica
0.952088895,5.1,3.5,1.4,0.3,Iris-setosa
0.082369429,4.6,3.6,1,0.2,Iris-setosa
0.090801089,5.8,2.7,3.9,1.2,Iris-versicolor
0.863425321,5.4,3,4.5,1.5,Iris-versicolor
0.774654123,6.7,2.5,5.8,1.8,Iris-virginica
0.227650172,6.8,2.8,4.8,1.4,Iris-versicolor
0.496198651,6,2.2,4,1,Iris-versicolor
0.119919976,6.5,3,5.2,2,Iris-virginica
0.378893958,5.6,2.8,4.9,2,Iris-virginica
0.442606638,4.6,3.4,1.4,0.3,Iris-setosa
0.517125604,6.1,3,4.6,1.4,Iris-versicolor
0.359705044,6.5,3.2,5.1,2,Iris-virginica
0.768644362,5.7,3.8,1.7,0.3,Iris-setosa
0.122857906,5.5,2.3,4,1.3,Iris-versicolor
0.6727868,7.2,3.6,6.1,2.5,Iris-virginica
0.998228088,7.7,3,6.1,2.3,Iris-virginica
0.080364688,7.7,2.8,6.7,2,Iris-virginica
0.71126257,5.7,2.5,5,2,Iris-virginica
0.116088309,6.7,3.1,4.7,1.5,Iris-versicolor
0.373179383,6.4,2.7,5.3,1.9,Iris-virginica
0.756891739,6.5,3,5.8,2.2,Iris-virginica
0.715506015,4.9,3,1.4,0.2,Iris-setosa
0.552088022,6.3,2.5,4.9,1.5,Iris-versicolor
0.946676005,4.6,3.2,1.4,0.2,Iris-setosa
0.031750431,5,3.4,1.5,0.2,Iris-setosa